标题,小区名d:\projects\DSL\college_departments.csv d:\projects\DSL\cr_tsh.py地区板块,户型,面积,朝向,装修,楼层,关注信息,房屋总价,房屋单价
中医附属医院家属院 两室两厅 房型方 正楼层佳,甘肃省中医学院附属医院家属院,东湖,2室1厅,64.74平米,南,其他,中楼层(共8层),0人关注 / 2个月以前发布, 46万,"7,106元/平"
静安小户型低楼层 首付低，生活设施配套完善。,静安小区,西关南关,2室0厅,53.42平米,东 北,简装,低楼层(共12层),0人关注 / 3个月以前发布, 36.5万,"6,833元/平"
马路之隔奥体万达茂  三室两卫 现房小区,绿城兰州诚园明礼苑,奥体中心,3室1厅,118.15平米,南 北,毛坯,低楼层(共34层),0人关注 / 2个月以前发布, 107万,"9,057元/平"
铁路局电梯高层单位福利房 铁一五十四 可按揭诚心出售,铁一院云祥小区,五泉广场,2室2厅,75.46平米,东北,简装,低楼层(共28层),0人关注 / 1个月以前发布, 85万,"11,265元/平"
地铁口新小区 毛坯房南北通透 采光视野好 可按揭,轨道城市曙光,东岗,2室2厅,103.59平米,南 北,毛坯,高楼层(共32层),0人关注 / 3个月以前发布, 79万,"7,627元/平"
西站首付20铁建馨苑两室两厅南北通透明厨明卫毛坯,铁建馨苑,龚家湾,2室2厅,93.94平米,南 北,毛坯,低楼层(共34层),0人关注 / 11个月以前发布, 52.5万,"5,589元/平"
奥体万达茂刚交付三室毛坯好房源,绿城兰州诚园明礼苑,奥体中心,3室2厅,100.4平米,南,毛坯,低楼层(共30层),0人关注 / 3个月以前发布, 88万,"8,765元/平"
碧桂园主道路旁三室两厅南北通透带车位出售价格可谈,爱丁堡,碧桂园,3室2厅,106.56平米,南 北,精装,中楼层(共29层),0人关注 / 6个月以前发布, 65万,"6,100元/平"
民东小区电梯房 正规两室一厅 朝南 可按揭 价格可谈,民东小区,东方红广场,2室1厅,69.04平米,南,简装,高楼层(共30层),0人关注 / 6个月以前发布, 85万,"12,312元/平"
吴家园一毛厂，三室一厅，精装修，中间楼层，产权清晰,吴家园一毛厂家属院,兰州中心,3室1厅,51.9平米,南 北,精装,低楼层(共6层),0人关注 / 2个月以前发布, 49.8万,"9,596元/平"
业主急售 康乐园 铁四 五十六  电梯房 南北通通,康乐园小区,火车站,2室1厅,61平米,南 北,简装,中楼层(共8层),0人关注 / 2个月以前发布, 58万,"9,509元/平"
东南两室  餐客一体 空间大 适宜住家 交通便利,雁滩家园B区,万达大润发,2室1厅,99平米,东南,其他,高楼层(共32层),0人关注 / 4个月以前发布, 86万,"8,687元/平"
此房高楼层，视野开阔，小区人车分流，19年新高层,航天和美,渭源路,2室1厅,76.21平米,西北,毛坯,中楼层(共28层),0人关注 / 8个月以前发布, 113万,"14,828元/平"
东部商圈 欣欣茗园 好房出售 全南户型 大落地窗急售,欣欣茗园,段家滩,2室2厅,106.12平米,南,简装,高楼层(共32层),0人关注 / 9个月以前发布, 95万,"8,953元/平"
西站首付16万三室两厅南北通透明厨明卫小区环境优美,中海铂悦府三期,龚家湾,3室2厅,90.33平米,南 北,精装,高楼层(共28层),0人关注 / 6个月以前发布, 81万,"8,968元/平"
三角花园  两室  西南向 可按揭随时看,机运小区（红山根东路）,火车站,2室1厅,55平米,南 北,简装,中楼层(共8层),0人关注 / 5个月以前发布, 23.8万,"4,328元/平"
渭源路十字近物所二区 两居小户型 产权清晰 停车方便,中科院近物所南昌路家属院（二区）,渭源路,2室1厅,57平米,南 北,简装,中楼层(共5层),0人关注 / 1个月以前发布, 42万,"7,369元/平"
永新华的河景房，采光视野好，大三室,永新华世界湾,海关,3室2厅,173.52平米,南 北,精装,低楼层(共34层),0人关注 / 一年前发布, 109万,"6,282元/平"
工农村南区  一提两户 产权清晰 可按揭,工农村南区,天鹅湖,2室2厅,63.48平米,东 北 西,其他,低楼层(共8层),0人关注 / 12天以前发布, 36万,"5,672元/平"
格林小镇 两室 中间楼层 无遮挡 精装修 停车方便,天庆格林小镇西区,雁滩高新区,2室2厅,98.29平米,南,精装,中楼层(共32层),0人关注 / 13天以前发布, 116万,"11,802元/平"
雁北路 精装未入住 2室 带全套家具 可按揭,金川•聚金雅园,北面滩,2室1厅,91.49平米,南,精装,中楼层(共33层),0人关注 / 4个月以前发布, 79.8万,"8,723元/平"
出售雅苑三室精装，中间楼层，视野开阔,瑞岭雅苑,兰州新区,3室2厅,124.04平米,南 北,精装,中楼层(共18层),0人关注 / 8个月以前发布, 72.8万,"5,870元/平"
万达茂奥体地铁口，三室两卫精装修南北通透,保利理想城,奥体中心,3室2厅,116.27平米,南 北,精装,中楼层(共31层),0人关注 / 4个月以前发布, 123万,"10,579元/平"
广武门电梯 四室两厅  精装修  三十五,广武嘉苑,广武门,4室2厅,123.46平米,南 北,精装,中楼层(共31层),0人关注 / 1个月以前发布, 255万,"20,655元/平"
新区二号湖边 地段好 配套成熟 交通便利 生活方便,智慧金融城H区,兰州新区,3室2厅,107.59平米,南 北,毛坯,中楼层(共30层),0人关注 / 8个月以前发布, 45万,"4,183元/平"
银河国际一楼带花园 精装修 三室南北通透 花园大,银河国际A区,碧桂园,3室1厅,114.66平米,南 北,精装,低楼层(共25层),0人关注 / 3个月以前发布, 120万,"10,466元/平"
文化宫地铁口！两室一厅电梯房 户型方正 产权清晰,兆烽嘉园,文化宫,2室1厅,85.01平米,西,简装,中楼层(共9层),0人关注 / 4个月以前发布, 69.8万,"8,211元/平"
精装，楼层佳，采光视野好，交通便利，绿化环境好,中海凯旋门,海关,3室2厅,120.67平米,南 北,精装,高楼层(共33层),0人关注 / 1个月以前发布, 139万,"11,520元/平"
此房目前空置，在小区中间位置，房子楼层采光充足,大名城D区蓝郡,榆中县,3室2厅,130.6平米,南 北,毛坯,中楼层(共18层),0人关注 / 一年前发布, 53万,"4,059元/平"
此房是钢混此房南北通透，中间楼层，采光好,省电信器材场家属院,兰大盘旋路,2室1厅,61.94平米,南 北,简装,中楼层(共6层),0人关注 / 22天以前发布, 120万,"19,374元/平"
碧桂园三期园丁园毛坯边户三室两厅两卫户型,碧桂园园丁园,碧桂园,3室2厅,119.76平米,南 北,毛坯,低楼层(共26层),0人关注 / 8个月以前发布, 54万,"4,510元/平"
绿色市场旁边中间楼层，交通便利，小户型住房,红西村社区（红山根西村/红山根西路）,火车站,2室1厅,58.29平米,南 北,简装,中楼层(共8层),0人关注 / 3个月以前发布, 27.5万,"4,718元/平"
兰石家园 小区配套齐全 交通便利 环境好,兰石家园,兰州新区,3室2厅,104.76平米,南 北,简装,高楼层(共16层),1人关注 / 10个月以前发布, 43.8万,"4,181元/平"
广场 盘旋路 农民巷 两室一厅 南北通透 随时看房,省教委家属院,渭源路,2室1厅,45.98平米,南 北,其他,中楼层(共5层),0人关注 / 25天以前发布, 41万,"8,917元/平"
公园跟前  好楼层  南北通透  业主急售,西固区人民政府家属院,金城公园,2室1厅,72.66平米,南 北,简装,中楼层(共6层),0人关注 / 24天以前发布, 47.8万,"6,579元/平"
小区环境优美 水系景观 小区绿化很好 物业费便,天恒·银滩花园B区,马滩,2室2厅,93.17平米,南,其他,低楼层(共32层),0人关注 / 6个月以前发布, 77万,"8,265元/平"
电梯房 中间楼层 秦安路  工商局家属院产权按揭,新华港社区（华亭街）,广武门,2室2厅,91平米,东南,简装,中楼层(共9层),0人关注 / 8个月以前发布, 77万,"8,462元/平"
西固热电二区 2室1厅 南 北,西固热电二区,金城公园,2室1厅,45.47平米,南 北,精装,中楼层(共5层),0人关注 / 3个月以前发布, 36万,"7,918元/平"
房子户型方正，有电梯，出行方便，单价低，看房方便。,中廣宜景湾·尚城,北面滩,2室2厅,110.11平米,东北,毛坯,低楼层(共33层),0人关注 / 一年前发布, 96.8万,"8,792元/平"
万达商圈 河景房 客厅、卧室都可看到黄河 高层 视野佳,中广 · 宜景湾,万达大润发,2室1厅,100.55平米,西 北,其他,高楼层(共33层),1人关注 / 3个月以前发布, 125万,"12,432元/平"
万达茂，交通方便，可随时看房。,万达观澜,奥体中心,3室2厅,125.72平米,东南,精装,中楼层(共25层),0人关注 / 2个月以前发布, 140万,"11,136元/平"
小高层，1梯3户，朝南，采光视野无遮挡,新乐苑,火车站,1室1厅,76.99平米,南,简装,中楼层(共17层),0人关注 / 19天以前发布, 65万,"8,443元/平"
新华印刷厂家属院 朝南户型 交通便利,新华印刷厂家属院（定西南路）,火车站,2室1厅,54.2平米,南,简装,高楼层(共7层),0人关注 / 9个月以前发布, 29万,"5,351元/平"
鸿运润园 2室2厅 南,鸿运润园,雁北路,2室2厅,93.5平米,南,简装,高楼层(共18层),0人关注 / 2个月以前发布, 120万,"12,835元/平"
一梯两户，公摊小，使用面积大，户型方正,金城新天地,兰州新区,2室1厅,86.53平米,南,毛坯,中楼层(共31层),0人关注 / 一年前发布, 31.8万,"3,676元/平"
铁建馨苑电梯房 西客站南广场近地铁随时可看房,铁建馨苑,龚家湾,2室1厅,96平米,南,精装,低楼层(共34层),0人关注 / 1个月以前发布, 69万,"7,188元/平"
弘泰名苑 2室2厅电梯房 东南朝向 采光通透,弘泰明苑,火车站,2室1厅,105.17平米,东南,简装,低楼层(共22层),0人关注 / 10个月以前发布, 85万,"8,083元/平"
五泉南关3室2厅采光好户型方正,飞阳家园,西关南关,3室2厅,142.39平米,西北,精装,高楼层(共12层),0人关注 / 4个月以前发布, 126万,"8,849元/平"
广场 东郊巷 电梯产权高层 采光好 视野开阔,甘肃省总工会家属院,渭源路,3室2厅,140平米,东 北,简装,中楼层(共32层),0人关注 / 1个月以前发布, 199万,"14,215元/平"
新区公务员小区 环境优美 好楼层 户型好 生活便利,瑞岭雅苑,兰州新区,2室1厅,96平米,南 北,简装,中楼层(共18层),0人关注 / 一年前发布, 46.8万,"4,875元/平"
瑞岭名郡西区 3室2厅 南 北,瑞岭名郡西区,兰州新区,3室2厅,134.23平米,南 北,精装,中楼层(共18层),0人关注 / 2个月以前发布, 103万,"7,674元/平"
火车站五十二中旁2室1厅电梯房中间楼层生活便利,金润佳苑小区,火车站,2室1厅,71.26平米,西,其他,中楼层(共15层),0人关注 / 15天以前发布, 45万,"6,315元/平"
碧桂园 二期 四环岛旁 一室一厅 精装 能按揭,海德郡五号院,碧桂园,1室1厅,52.56平米,东,精装,低楼层(共25层),0人关注 / 2个月以前发布, 32万,"6,089元/平"
户型方正，无浪费面积，楼层适中，采光好，交通便利,中廣宜景湾·尚城,北面滩,1室1厅,65.44平米,南,简装,低楼层(共31层),2人关注 / 一年前发布, 60万,"9,169元/平"
西固城 精装修 大三室电梯房  有钥匙 随时看房,兰高嘉苑,玉门街,3室2厅,119.36平米,东 南 北,精装,高楼层(共33层),0人关注 / 2个月以前发布, 79万,"6,619元/平"
兰大二院 金城名苑 复式 三室两厅 诚意出售单纯性变现,金城名苑,西关南关,3室2厅,136平米,南 北,简装,高楼层(共12层),0人关注 / 8个月以前发布, 175万,"12,868元/平"
西固城合水路  精装拎包入住好房出售,西固巷社区,小平房,2室1厅,69.9平米,东,精装,中楼层(共5层),0人关注 / 2个月以前发布, 34万,"4,865元/平"
马滩地铁口 花园式小区 朝南户型 采光视野无遮挡,天恒·银滩花园B区,马滩,2室2厅,91.46平米,南,简装,低楼层(共30层),0人关注 / 4个月以前发布, 81万,"8,857元/平"
广场皋兰路 两室一厅中楼层 诚心出售,职工报社家属院（旧大路/皋兰路）,东方红广场,2室1厅,76平米,南 北,简装,中楼层(共8层),0人关注 / 4个月以前发布, 56万,"7,369元/平"
新小区 楼间距大 高楼层 小区环境好 小区停车方便,海盛花园,九州,1室1厅,53.98平米,东南,简装,高楼层(共33层),0人关注 / 3个月以前发布, 33万,"6,114元/平"
优质户型电梯房，主干道，交通便利,中车时代美居,龚家湾,2室2厅,94.37平米,南 北,简装,低楼层(共13层),0人关注 / 1个月以前发布, 74.6万,"7,906元/平"
房子精装修双落地大阳台产权到位电梯房2室2厅明厨明卫,金域华府公馆,曦华源,2室1厅,92.41平米,南 北,精装,高楼层(共31层),0人关注 / 12天以前发布, 79万,"8,549元/平"
瞧，曦华源洋房社区一室一厅，产权清晰可按揭,曦华源,曦华源,1室1厅,81平米,北,精装,低楼层(共11层),1人关注 / 7个月以前发布, 60万,"7,408元/平"
雁滩万达商圈良志嘉年华3室可按揭预约看房,良志·嘉年华,万达大润发,3室2厅,137.01平米,东南,其他,低楼层(共32层),0人关注 / 2个月以前发布, 160万,"11,678元/平"
静宁路三十五 贡元巷两室两厅 南北通透 采光好可按揭,市少儿活动中心家属院,西关南关,2室2厅,110平米,南 北,简装,高楼层(共9层),0人关注 / 一年前发布, 115万,"10,455元/平"
碧桂园.诺四.小高层.二次装修，经典四居室.南北通透,诺四,碧桂园,4室2厅,139.81平米,南 北,精装,低楼层(共18层),0人关注 / 8个月以前发布, 79万,"5,651元/平"
此房子是精装修 南北通透 客厅两卧室都是朝阳面,华润置地二十四城,雁滩高新区,3室2厅,115.55平米,南 北,精装,高楼层(共34层),0人关注 / 6个月以前发布, 120万,"10,386元/平"
铁路局  金轮广场 金轮花园 两室两厅 随时看房,金轮花园,火车站,2室2厅,68平米,东 西,简装,高楼层(共8层),0人关注 / 一年前发布, 49万,"7,206元/平"
小平房交通便利 带电梯 东西朝向 配套齐全,怡安小区(西固区),小平房,2室1厅,73.29平米,东 西,精装,高楼层(共12层),0人关注 / 23天以前发布, 38万,"5,185元/平"
兰石家园 小区配套齐全 交通便利 环境好,兰石家园,兰州新区,3室2厅,104.76平米,南 北,简装,高楼层(共16层),1人关注 / 10个月以前发布, 43.8万,"4,181元/平"
小区环境优美 水系景观 小区绿化很好 物业费便,天恒·银滩花园B区,马滩,2室2厅,93.17平米,南,其他,低楼层(共32层),0人关注 / 6个月以前发布, 77万,"8,265元/平"
公园跟前  好楼层  南北通透  业主急售,西固区人民政府家属院,金城公园,2室1厅,72.66平米,南 北,简装,中楼层(共6层),0人关注 / 24天以前发布, 47.8万,"6,579元/平"
二热十字 框架H户型 南北通透,佳裕小区西区,二热,2室2厅,83平米,南 北,简装,高楼层(共8层),0人关注 / 3个月以前发布, 45万,"5,422元/平"
电梯房 中间楼层 秦安路  工商局家属院产权按揭,新华港社区（华亭街）,广武门,2室2厅,91平米,东南,简装,中楼层(共9层),0人关注 / 8个月以前发布, 77万,"8,462元/平"
